DATAFLOW,LAST UPDATE,freq,tra_infr,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DK,2001,8.0,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DK,2002,8.6,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DK,2003,8.0,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DK,2004,6.8,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DK,2005,6.1,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DK,2006,5.6,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DK,2007,7.4,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DK,2008,7.4,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DK,2009,5.5,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DK,2010,4.6,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DK,2011,3.9,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DK,2012,3.0,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DK,2013,3.4,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DK,2014,3.2,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DK,2015,3.1,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DK,2016,3.7,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DK,2017,3.0,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DK,2018,3.0,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DK,2019,3.4,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DK,2020,2.8,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DK,2021,2.2,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EE,2000,14.6,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EE,2001,14.3,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EE,2002,16.2,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EE,2003,12.0,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EE,2004,12.5,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EE,2005,12.5,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EE,2006,15.1,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EE,2007,14.6,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EE,2008,9.9,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EE,2009,7.3,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EE,2010,5.9,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EE,2011,7.6,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EE,2012,6.6,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EE,2013,6.1,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EE,2014,5.9,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EE,2015,5.1,b
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EE,2016,5.4,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EE,2017,3.6,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EE,2018,5.1,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EE,2019,3.9,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EE,2020,4.4,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EE,2021,4.1,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EL,2000,18.9,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EL,2001,17.3,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EL,2002,15.0,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EL,2003,14.7,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EL,2004,15.2,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EL,2005,15.1,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EL,2006,15.0,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EL,2007,14.6,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EL,2008,14.0,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EL,2009,13.1,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EL,2010,11.3,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EL,2011,10.3,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EL,2012,8.9,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EL,2013,8.0,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EL,2014,7.3,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EL,2015,7.3,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EL,2016,7.6,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EL,2017,6.8,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EL,2018,6.5,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EL,2019,6.4,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EL,2020,5.5,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EL,2021,5.9,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,ES,2000,14.2,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,ES,2001,13.4,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,ES,2002,12.8,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,ES,2003,12.7,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,ES,2004,11.0,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,ES,2005,10.1,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,ES,2006,9.2,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,ES,2007,8.4,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,ES,2008,6.7,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,ES,2009,5.8,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,ES,2010,5.2,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,ES,2011,4.4,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,ES,2012,4.0,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,ES,2013,3.6,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,ES,2014,3.6,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,ES,2015,3.6,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,ES,2016,3.9,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,ES,2017,3.9,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,ES,2018,3.9,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,ES,2019,3.7,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,ES,2020,2.9,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,ES,2021,3.2,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EU27_2020,2000,12.5,b
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EU27_2020,2001,11.9,b
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EU27_2020,2002,11.7,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EU27_2020,2003,11.0,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EU27_2020,2004,10.3,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EU27_2020,2005,9.8,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EU27_2020,2006,9.2,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EU27_2020,2007,9.1,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EU27_2020,2008,8.4,b
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EU27_2020,2009,7.5,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EU27_2020,2010,6.7,b
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EU27_2020,2011,6.5,b
